序号,来源图纸,类别,构件名称,规格,编号,轴位,区域,宽度/m,高度/m,左右接,X坐标,Y坐标,图层
3919,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(右) DCC,DCC,G/H轴,南中区,2.85,1.80,右,178750.0,48724.68,0-DCC
3920,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(右) DCC,DCC,G/H轴,南中区,2.85,1.80,右,154525.0,48725.0,0-DCC
3921,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(右) DCC,DCC,G/H轴,南中区,2.85,1.80,右,136425.0,48725.0,0-DCC
3922,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,140675.11,109675.0,0-DCC
3923,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,198274.89,109675.0,0-DCC
3924,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,132575.11,109675.0,0-DCC
3925,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,143625.0,109675.0,0-DCC
3926,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,205480.89,109675.32,0-DCC
3927,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,147875.11,109675.0,0-DCC
3928,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,150825.0,109675.0,0-DCC
3929,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,155075.11,109675.0,0-DCC
3930,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,158025.0,109675.0,0-DCC
3931,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,162275.11,109675.0,0-DCC
3932,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,左,121175.0,109675.32,0-DCC
3933,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,右,169474.89,109674.68,0-DCC
3934,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(右) DCC-C*2,DCC-C,R/S轴,北中区,2.85,2.30,右,168925.11,109674.68,0-DCC
3935,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,201225.0,109675.0,0-DCC
3936,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,178977.67,109675.0,0-DCC
3937,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,165225.0,109675.0,0-DCC
3938,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2018-H,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,119075.11,110175.0,0-DCC
3939,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300 2400x1300(右) DCC-F,DCC-F,X/Y轴,北区,3.50,2.30,右,27600.0,155671.0,0-DCC
3940,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F*2,DCC-F,A/B轴,南区,3.50,2.30,右,214800.0,2725.9,0-DCC
3941,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,146397.82,2730.32,0-DCC
3942,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,149997.82,2730.32,0-DCC
3943,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F*2,DCC-F,A/B轴,南区,3.50,2.30,右,153597.82,2730.32,0-DCC
3944,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,164400.0,2729.37,0-DCC
3945,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,178800.0,2729.68,0-DCC
3946,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,182400.0,2729.68,0-DCC
3947,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,186000.0,2729.68,0-DCC
3948,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,189600.0,2729.68,0-DCC
3949,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F*2,DCC-F,A/B轴,南区,3.50,2.30,右,193200.0,2729.68,0-DCC
3950,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,211200.0,2725.9,0-DCC
3951,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,175200.0,2729.68,0-DCC
3952,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,207600.0,2725.9,0-DCC
3953,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,222000.0,2725.9,0-DCC
3954,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,218400.0,2725.9,0-DCC
3955,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,225600.0,2725.9,0-DCC
3956,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,232800.0,2725.9,0-DCC
3957,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F,DCC-F,A/B轴,南区,3.50,2.30,右,236400.0,2725.9,0-DCC
3958,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-3523,3500x2300(右) DCC-F*2,DCC-F,A/B轴,南区,3.50,2.30,右,241842.85,2725.9,0-DCC
3959,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E,DCC-E,R/S轴,北中区,2.85,2.30,左,212662.5,109675.0,0-DCC
3960,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E,DCC-E,R/S轴,北中区,2.85,2.30,左,215625.0,109675.0,0-DCC
3961,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.30,左,219874.89,109675.0,0-DCC
3962,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.30,左,222825.0,109675.0,0-DCC
3963,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E,DCC-E,R/S轴,北中区,2.85,2.30,左,227050.22,109675.0,0-DCC
3964,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E,DCC-E,R/S轴,北中区,2.85,2.30,左,230025.0,109675.0,0-DCC
3965,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC设备,DCC-2923-H,2850x2300(左) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.30,左,208431.0,109675.32,0-DCC
3966,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(左) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.60,左,51100.0,42726.74,K-CEIL-DCC-RACK
3967,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(左) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.60,左,215300.0,42725.01,K-CEIL-DCC-RACK
3968,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(左) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.60,左,216700.0,42726.74,K-CEIL-DCC-RACK
3969,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,56900.0,42726.74,K-CEIL-DCC-RACK
3970,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,58300.0,42726.74,K-CEIL-DCC-RACK
3971,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,60358.66,42740.85,K-CEIL-DCC-RACK
3972,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000*2300(左) DCC-B,DCC-B,F/G轴,南区,2.00,2.30,左,60900.0,42726.74,K-CEIL-DCC-RACK
3973,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000*2300(左) DCC-B,DCC-B,G/H轴,南中区,2.00,2.30,左,238300.0,50875.0,K-CEIL-DCC-RACK
3974,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000*2300(左),DCC-B,R/S轴,北中区,2.00,2.30,左,191100.0,115675.0,K-CEIL-DCC-RACK
3975,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,121050.0,42722.96,K-CEIL-DCC-RACK
3976,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,115900.0,43025.0,K-CEIL-DCC-RACK
3977,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-E*2,DCC-E,R/S轴,北中区,2.85,2.30,右,100100.0,115675.0,K-CEIL-DCC-RACK
3978,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,118145.79,42739.11,K-CEIL-DCC-RACK
3979,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,116845.79,43039.11,K-CEIL-DCC-RACK
3980,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(右) DCC-E*2,DCC-E,F/G轴,南区,2.85,2.30,右,118081.68,42975.0,K-CEIL-DCC-RACK
3981,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000x2600(右) DCC-J*2,DCC-J,G/H轴,南中区,2.00,2.60,右,73550.0,50875.32,K-CEIL-DCC-RACK
3982,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,2.60,右,92900.0,50875.0,K-CEIL-DCC-RACK
3983,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,2.60,右,100100.0,50875.0,K-CEIL-DCC-RACK
3984,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(右) DCC-C,DCC-C,R/S轴,北中区,2.85,2.60,右,215299.88,115675.0,K-CEIL-DCC-RACK
3985,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(右) DCC-C*2,DCC-C,F/G轴,南区,2.85,2.60,右,164900.0,42725.0,K-CEIL-DCC-RACK
3986,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,2.30,右,107300.0,50875.0,K-CEIL-DCC-RACK
3987,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-C,DCC-C,F/G轴,南区,2.85,2.30,右,85700.0,42725.0,K-CEIL-DCC-RACK
3988,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC-C*2,DCC-C,G/H轴,南中区,2.85,2.30,右,222500.0,50875.0,K-CEIL-DCC-RACK
3989,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000x2600(右) DCC-C*2,DCC-C,Q/R轴,北中区,2.00,2.60,右,73477.34,107543.88,K-CEIL-DCC-RACK
3990,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2000x1800(右) DCC-D*2,DCC-D,R/S轴,北中区,2.00,1.80,右,114500.0,115675.0,K-CEIL-DCC-RACK
3991,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,左,43900.0,42725.0,K-CEIL-DCC-RACK
3992,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC-D*2,DCC-D,Q/R轴,北中区,2.85,2.30,左,51100.0,107525.0,K-CEIL-DCC-RACK
3993,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(左) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,左,46800.0,42739.11,K-CEIL-DCC-RACK
3994,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(左) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.30,左,45175.0,42739.11,K-CEIL-DCC-RACK
3995,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC-D*2,DCC-D,Q/R轴,北中区,2.85,2.30,左,50969.39,108700.0,K-CEIL-DCC-RACK
3996,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC-D,DCC-D,G/H轴,南中区,2.85,2.30,左,237650.0,46750.0,K-CEIL-DCC-RACK
3997,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC-D,DCC-D,F/G轴,南区,2.85,2.30,左,237651.72,43900.0,K-CEIL-DCC-RACK
3998,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2600(左) DCC-D*2,DCC-D,F/G轴,南区,2.85,2.60,左,49700.0,42725.0,K-CEIL-DCC-RACK
3999,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,136100.0,42725.0,K-CEIL-DCC-RACK
4000,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,137500.0,42726.74,K-CEIL-DCC-RACK
4001,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,133199.89,42740.53,K-CEIL-DCC-RACK
4002,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,DCC-C,G/H轴,南中区,2.85,1.80,左,7900.0,50375.0,K-CEIL-DCC-RACK
4003,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,DCC-C,G/H轴,南中区,2.85,1.80,左,6500.0,50450.0,K-CEIL-DCC-RACK
4004,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,193750.0,110038.11,K-CEIL-DCC-RACK
4005,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,137100.0,109988.95,K-CEIL-DCC-RACK
4006,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C*2,DCC-C,R/S轴,北中区,2.85,1.80,左,108275.08,110039.11,K-CEIL-DCC-RACK
4007,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C,DCC-C,F/G轴,南区,2.85,1.80,左,205200.0,42739.11,K-CEIL-DCC-RACK
4008,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,202300.0,42725.0,K-CEIL-DCC-RACK
4009,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C,DCC-C,F/G轴,南区,2.85,1.80,左,208100.0,42725.0,K-CEIL-DCC-RACK
4010,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C,DCC-C,F/G轴,南区,2.85,1.80,左,209500.0,42726.74,K-CEIL-DCC-RACK
4011,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x1800(左) DCC-C,DCC-C,F/G轴,南区,2.85,1.80,左,222500.0,42725.01,K-CEIL-DCC-RACK
4012,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x1800(左) DCC-C*2,DCC-C,F/G轴,南区,2.85,1.80,左,130325.0,42740.53,K-CEIL-DCC-RACK
4013,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2400x1300(右) DCC,DCC,F/G轴,南区,2.40,1.30,右,226000.0,43975.0,K-CEIL-DCC-RACK
4014,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2400x1300(右) DCC,DCC,F/G轴,南区,2.40,1.30,右,225025.0,43987.37,K-CEIL-DCC-RACK
4015,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,195100.0,50874.68,K-CEIL-DCC-RACK
4016,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,200900.0,50874.68,K-CEIL-DCC-RACK
4017,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,193700.0,50874.68,K-CEIL-DCC-RACK
4018,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,172100.0,50874.68,K-CEIL-DCC-RACK
4019,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,166300.0,50874.68,K-CEIL-DCC-RACK
4020,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,178450.0,50874.68,K-CEIL-DCC-RACK
4021,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,164900.0,50874.68,K-CEIL-DCC-RACK
4022,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,159100.0,50874.68,K-CEIL-DCC-RACK
4023,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,150500.0,50874.37,K-CEIL-DCC-RACK
4024,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,144700.0,50874.37,K-CEIL-DCC-RACK
4025,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,143300.0,50874.68,K-CEIL-DCC-RACK
4026,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,137500.0,50874.68,K-CEIL-DCC-RACK
4027,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,121050.0,50874.68,K-CEIL-DCC-RACK
4028,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,115900.0,50875.0,K-CEIL-DCC-RACK
4029,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,Q/R轴,北中区,2.85,2.30,右,172100.0,107525.0,K-CEIL-DCC-RACK
4030,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,173500.0,50877.68,K-CEIL-DCC-RACK
4031,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,202300.0,50874.68,K-CEIL-DCC-RACK
4032,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,157700.0,50874.68,K-CEIL-DCC-RACK
4033,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,151900.0,50874.68,K-CEIL-DCC-RACK
4034,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,136100.0,50874.68,K-CEIL-DCC-RACK
4035,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,114500.0,50874.68,K-CEIL-DCC-RACK
4036,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,108700.0,50874.68,K-CEIL-DCC-RACK
4037,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,174174.78,50860.89,K-CEIL-DCC-RACK
4038,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-200,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,116849.89,50860.89,K-CEIL-DCC-RACK
4039,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(右) DCC,DCC,G/H轴,南中区,2.85,2.30,右,132875.0,50875.0,K-CEIL-DCC-RACK
4040,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,137500.0,107525.0,K-CEIL-DCC-RACK
4041,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,143300.0,107525.0,K-CEIL-DCC-RACK
4042,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,166300.0,107525.0,K-CEIL-DCC-RACK
4043,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,178650.0,107525.0,K-CEIL-DCC-RACK
4044,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,195100.0,107525.0,K-CEIL-DCC-RACK
4045,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,200900.0,107525.0,K-CEIL-DCC-RACK
4046,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,209500.0,107525.0,K-CEIL-DCC-RACK
4047,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,215300.0,107525.0,K-CEIL-DCC-RACK
4048,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,216700.0,107525.0,K-CEIL-DCC-RACK
4049,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,222500.0,107525.0,K-CEIL-DCC-RACK
4050,X-HLP3-CR-F3-LAY-KEQP-02-002,DCC支架,DCC-Rack-150,2850x2300(左) DCC,DCC,Q/R轴,北中区,2.85,2.30,左,223900.0,107525.0,K-CEIL-DCC-RACK
